word,synset
ascent,ascent.n.01
ascent,rise.n.04
ascertain,see.v.10
ascertain,determine.v.08
ascertain,determine.v.01
ascertained,ascertained.s.01
aside,apart.r.02
aside,aside.r.06
aside,aside.r.02
aside,digression.n.01
ask,necessitate.v.01
ask,ask.v.04
ask,ask.v.01
asker,inquirer.n.01
asleep,asleep.s.03
asleep,asleep.s.02
aspect,view.n.02
aspect,aspect.n.01
aspect,expression.n.01
aspiration,ambition.n.01
aspiration,inhalation.n.01
aspire,draw_a_bead_on.v.02
aspiring,aspirant.s.01
ass,buttocks.n.01
ass,fuck.n.01
assassin,assassin.n.01
assault,rape.v.01
assault,rape.n.03
assault,assail.v.01
assault,attack.v.02
assay,try.v.01
assay,assay.n.01
assemble,assemble.v.01
assemble,meet.v.07
assemble,assemble.v.03
assembly,forum.n.02
assembly,assembly.n.06
assembly,fabrication.n.04
assert,affirm.v.02
assert,insist.v.03
assert,assert.v.01
assertion,affirmation.n.02
assess,measure.v.04
assess,tax.v.02
assessment,appraisal.n.01
assessment,judgment.n.02
asset,asset.n.01
asshole,asshole.n.01
assign,put.v.04
assign,assign.v.02
assign,assign.v.04
assigning,assignment.n.03
assignment,grant.n.03
assignment,appointment.n.01
assignment,assignment.n.03
assist,help.v.01
assist,serve.v.10
assist,aid.n.02
assistance,aid.n.01
assistance,aid.n.02
assistant,adjunct.s.02
assistant,assistant.n.01
assorted,assorted.s.02
assorted,assorted.s.01
assortment,assortment.n.01
assortment,categorization.n.03
assume,assume.v.05
assume,assume.v.03
assume,assume.v.01
assume,bear.v.06
assume,assume.v.02
assume,simulate.v.03
assume,wear.v.09
assume,assume.v.06
assumed,assumed.s.01
assumption,premise.n.01
assurance,assurance.n.01
assurance,assurance.n.02
assure,see.v.10
assure,guarantee.v.02
assure,promise.v.01
assure,reassure.v.01
assure,assure.v.02
asterisk,asterisk.n.01
astonished,amazed.s.01
astonishing,astonishing.s.02
astonishing,amazing.s.01
astounding,astonishing.s.02
astral,stellar.a.02
astray,wide.r.03
astronomical,astronomic.s.02
astute,astute.s.01
asylum,refuge.n.03
asylum,mental_hospital.n.01
asymmetrical,asymmetrical.s.02
asymmetry,asymmetry.n.01
athlete,athlete.n.01
athletics,sport.n.01
atmosphere,air.n.03
atmosphere,atmosphere.n.03
atmosphere,atmosphere.n.01
atom,atom.n.02
atomic,nuclear.a.01
atrophy,atrophy.n.01
attach,bind.v.02
attach,impound.v.01
attached,attached.a.03
attachment,attachment.n.05
attachment,attachment.n.04
attack,attack.v.02
attack,attack.n.05
attack,assail.v.01
attack,attack.n.01
attack,fire.n.09
attack,approach.n.01
attain,reach.v.01
attain,fall_upon.v.01
attain,achieve.v.01
attain,reach.v.02
attainment,skill.n.01
attempt,undertake.v.01
attempt,attempt.n.01
attempt,attack.n.05
attempt,try.v.01
attend,attend.v.05
attend,serve.v.10
attend,attend.v.02
